"caseid","SurveyId","v000","v005","v007","v012","v021","v022","v025","v119","v121","v133","v136","v157","v158","v159","v190","v191","v212","v301","v364","v501","v503","v531","v536","v613","v714","v715","v717","v836"
"         1 1  1","GU2015DHS","GU6",1039388,2015,44,1,1,1,1,1,17,3,1,2,2,4,84665,26,3,4,0,NA,25,1,3,1,NA,96,3
"         1 1  2","GU2015DHS","GU6",1039388,2015,18,1,1,1,1,1,10,3,2,2,2,4,84665,NA,3,4,0,NA,0,0,2,0,NA,0,NA
"         1 1  4","AM2016DHS","AM7",2213166,2016,32,1,21,1,1,1,14,6,1,2,2,5,102338,22,3,3,1,1,21,1,2,0,10,0,1
"         1 4  4","AM2016DHS","AM7",2213166,2016,27,1,21,1,1,1,14,4,2,0,2,5,97324,NA,3,3,0,NA,0,0,3,1,NA,5,NA
"         1 4  4","GU2015DHS","GU6",1039388,2015,20,1,1,1,1,1,13,5,2,0,2,5,187960,NA,3,3,0,NA,0,0,2,0,NA,0,NA
"         1 5  2","GU2015DHS","GU6",1039388,2015,40,1,1,1,1,1,10,4,1,2,2,5,94718,24,3,4,5,1,17,2,1,1,6,3,3
"         1 6  2","AM2016DHS","AM7",2213166,2016,40,1,21,1,1,1,13,4,2,1,2,5,110335,23,3,3,1,1,22,1,2,1,15,1,1
"         1 6  2","GU2015DHS","GU6",1039388,2015,26,1,1,1,1,1,9,2,2,2,2,4,51073,NA,3,3,1,1,22,1,2,0,8,0,1
"         1 7  2","AM2016DHS","AM7",2213166,2016,27,1,21,1,1,1,14,3,1,2,2,4,55364,23,3,4,1,1,22,1,2,0,14,0,1
"         1 7  2","GU2015DHS","GU6",1039388,2015,41,1,1,1,1,1,18,3,0,2,2,5,202278,30,3,4,1,1,24,1,2,1,18,1,3
"         111  4","AM2016DHS","AM7",2213166,2016,27,1,21,1,1,1,14,5,2,2,2,5,101446,23,3,3,1,1,22,1,3,0,16,0,1
"         112  1","AM2016DHS","AM7",2213166,2016,36,1,21,1,1,1,10,5,1,2,2,3,43271,16,3,4,4,2,16,3,3,0,NA,0,2
"         112  3","GU2015DHS","GU6",1039388,2015,27,1,1,1,1,1,12,7,2,2,2,5,181351,23,3,1,1,1,18,1,1,1,12,7,2
"         113  2","GU2015DHS","GU6",1039388,2015,42,1,1,1,1,1,0,2,0,2,2,5,160341,17,3,1,5,2,16,3,5,1,6,9,2
"         113  4","AM2016DHS","AM7",2213166,2016,29,1,21,1,1,1,14,6,2,2,2,5,108251,NA,3,3,0,NA,0,0,2,1,NA,1,NA
